English,French,Errors
baggage claim,retrait de bagages,0
connecting flight,une correspondance (vol),0
pillow,oreiller,0
to yield,céder,0
scenery,paysage,0
oil,pétrole,0
cabin attendant,agent de bord,0
track,une voie/piste,0
speeding,excès de vitesse,0
cab,taxi,0
rate,un taux/tarif,0
commute,un trajet pour aller au travail/faire le trajet,0
aisle,allée,0
blanket,couverture,0
sightseeing,tourisme,0
get on,monter (bus/train),0
fare,prix du billet,0
check in,s'enregistrer,0
housekeeper,gouvernante,0
luggage,bagages,0
