English,French,Errors
appliance,appareil,0
block,pâté de maisons,0
ceiling,le plafond,0
chimney,cheminée d'extérieur,0
condominium,immeuble,0
cozy,confortable/douillet,0
facilities,équipements / commodités,0
fireplace,cheminée d'intérieur,0
fitted with,équipé de,0
flatmate,colocataire,0
furniture,meubles,0
handle,poignée,0
household,un ménage,0
land,terrain,0
landlord/landlady,propriétaire,0
lawn,pelouse,0
leak,fuite/fuir/couler,0
lease,bail,0
light bulb,ampoule,0
moving expenses,frais de déménagement,0
no vacancies,complet,0
overlook,donner sur,0
parking lot,parking,0
pipe,tuyau,0
plant/factory,usine,0
plumber,plombier,0
real estate,immobilier,0
realtor,agent immobilier,0
roof,toit,0
sink,évier/lavabo,0
tenant,locataire,0
towel,serviette,0
utility bill,facture services publics,0
